rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
61,src/macros.rs,42,1,2,0,0,0.5,0.5773502691896258,0.5,"fn $method(self, other: $res) -> $res {"
62,src/macros.rs,44,1,2,0,0,0.5,0.5773502691896258,0.5,"$imp::$method(self, &other)"
63,src/macros.rs,45,1,2,0,0,0.5,0.5773502691896258,0.5,}
64,src/algorithms.rs,21,0,0,1,2,0.0,0.0,0.0,"fn adc(a: BigDigit, b: BigDigit, acc: &mut DoubleBigDigit) -> BigDigit {"
65,src/algorithms.rs,22,0,0,1,2,0.0,0.0,0.0,*acc += DoubleBigDigit::from(a);
66,src/algorithms.rs,23,0,0,1,2,0.0,0.0,0.0,*acc += DoubleBigDigit::from(b);
67,src/algorithms.rs,24,0,0,1,2,0.0,0.0,0.0,let lo = *acc as BigDigit;
68,src/algorithms.rs,25,0,0,1,2,0.0,0.0,0.0,*acc >>= big_digit::BITS;
69,src/algorithms.rs,26,0,0,1,2,0.0,0.0,0.0,lo
70,src/algorithms.rs,27,0,0,1,2,0.0,0.0,0.0,}
71,src/algorithms.rs,31,0,1,1,1,0.0,0.0,0.0,"fn sbb(a: BigDigit, b: BigDigit, acc: &mut SignedDoubleBigDigit) -> BigDigit {"
72,src/algorithms.rs,32,0,1,1,1,0.0,0.0,0.0,*acc += SignedDoubleBigDigit::from(a);
73,src/algorithms.rs,33,0,1,1,1,0.0,0.0,0.0,*acc -= SignedDoubleBigDigit::from(b);
74,src/algorithms.rs,34,0,1,1,1,0.0,0.0,0.0,let lo = *acc as BigDigit;
75,src/algorithms.rs,35,0,1,1,1,0.0,0.0,0.0,*acc >>= big_digit::BITS;
76,src/algorithms.rs,36,0,1,1,1,0.0,0.0,0.0,lo
77,src/algorithms.rs,37,0,1,1,1,0.0,0.0,0.0,}
78,src/algorithms.rs,40,0,1,1,1,0.0,0.0,0.0,"pub fn mac_with_carry(a: BigDigit, b: BigDigit, c: BigDigit, acc: &mut DoubleBigDigit) -> BigDigit {"
79,src/algorithms.rs,41,0,1,1,1,0.0,0.0,0.0,*acc += DoubleBigDigit::from(a);
80,src/algorithms.rs,42,0,1,1,1,0.0,0.0,0.0,*acc += DoubleBigDigit::from(b) * DoubleBigDigit::from(c);
81,src/algorithms.rs,43,0,1,1,1,0.0,0.0,0.0,let lo = *acc as BigDigit;
82,src/algorithms.rs,44,0,1,1,1,0.0,0.0,0.0,*acc >>= big_digit::BITS;
83,src/algorithms.rs,45,0,1,1,1,0.0,0.0,0.0,lo
84,src/algorithms.rs,46,0,1,1,1,0.0,0.0,0.0,}
85,src/algorithms.rs,49,0,0,1,2,0.0,0.0,0.0,"pub fn mul_with_carry(a: BigDigit, b: BigDigit, acc: &mut DoubleBigDigit) -> BigDigit {"
86,src/algorithms.rs,50,0,0,1,2,0.0,0.0,0.0,*acc += DoubleBigDigit::from(a) * DoubleBigDigit::from(b);
87,src/algorithms.rs,51,0,0,1,2,0.0,0.0,0.0,let lo = *acc as BigDigit;
88,src/algorithms.rs,52,0,0,1,2,0.0,0.0,0.0,*acc >>= big_digit::BITS;
89,src/algorithms.rs,53,0,0,1,2,0.0,0.0,0.0,lo
90,src/algorithms.rs,54,0,0,1,2,0.0,0.0,0.0,}
91,src/algorithms.rs,63,0,2,1,0,0.0,0.0,0.0,"fn div_wide(hi: BigDigit, lo: BigDigit, divisor: BigDigit) -> (BigDigit, BigDigit) {"
92,src/algorithms.rs,64,0,2,1,0,0.0,0.0,0.0,debug_assert!(hi < divisor);
93,src/algorithms.rs,66,0,2,1,0,0.0,0.0,0.0,"let lhs = big_digit::to_doublebigdigit(hi, lo);"
94,src/algorithms.rs,67,0,2,1,0,0.0,0.0,0.0,let rhs = DoubleBigDigit::from(divisor);
95,src/algorithms.rs,68,0,2,1,0,0.0,0.0,0.0,"((lhs / rhs) as BigDigit, (lhs % rhs) as BigDigit)"
96,src/algorithms.rs,69,0,2,1,0,0.0,0.0,0.0,}
97,src/algorithms.rs,71,0,2,1,0,0.0,0.0,0.0,"pub fn div_rem_digit(mut a: BigUint, b: BigDigit) -> (BigUint, BigDigit) {"
98,src/algorithms.rs,72,0,2,1,0,0.0,0.0,0.0,let mut rem = 0;
99,src/algorithms.rs,74,0,2,1,0,0.0,0.0,0.0,for d in a.data.iter_mut().rev() {
100,src/algorithms.rs,75,0,2,1,0,0.0,0.0,0.0,"let (q, r) = div_wide(rem, *d, b);"
101,src/algorithms.rs,80,0,2,1,0,0.0,0.0,0.0,"(a.normalized(), rem)"
102,src/algorithms.rs,81,0,2,1,0,0.0,0.0,0.0,}
103,src/algorithms.rs,83,0,0,1,2,0.0,0.0,0.0,"pub fn rem_digit(a: &BigUint, b: BigDigit) -> BigDigit {"
104,src/algorithms.rs,84,0,0,1,2,0.0,0.0,0.0,let mut rem: DoubleBigDigit = 0;
105,src/algorithms.rs,85,0,0,1,2,0.0,0.0,0.0,for &digit in a.data.iter().rev() {
106,src/algorithms.rs,86,0,0,1,2,0.0,0.0,0.0,rem = (rem << big_digit::BITS) + DoubleBigDigit::from(digit);
107,src/algorithms.rs,90,0,0,1,2,0.0,0.0,0.0,rem as BigDigit
108,src/algorithms.rs,91,0,0,1,2,0.0,0.0,0.0,}
109,src/algorithms.rs,95,0,0,1,2,0.0,0.0,0.0,"pub fn __add2(a: &mut [BigDigit], b: &[BigDigit]) -> BigDigit {"
110,src/algorithms.rs,96,0,0,1,2,0.0,0.0,0.0,debug_assert!(a.len() >= b.len());
111,src/algorithms.rs,98,0,0,1,2,0.0,0.0,0.0,let mut carry = 0;
112,src/algorithms.rs,99,0,0,1,2,0.0,0.0,0.0,"let (a_lo, a_hi) = a.split_at_mut(b.len());"
113,src/algorithms.rs,101,0,0,1,2,0.0,0.0,0.0,"for (a, b) in a_lo.iter_mut().zip(b) {"
114,src/algorithms.rs,102,0,0,1,2,0.0,0.0,0.0,"*a = adc(*a, *b, &mut carry);"
115,src/algorithms.rs,105,0,0,1,2,0.0,0.0,0.0,if carry != 0 {
116,src/algorithms.rs,106,0,0,1,2,0.0,0.0,0.0,for a in a_hi {
117,src/algorithms.rs,107,0,0,1,2,0.0,0.0,0.0,"*a = adc(*a, 0, &mut carry);"
118,src/algorithms.rs,108,0,0,1,2,0.0,0.0,0.0,if carry == 0 {
119,src/algorithms.rs,109,0,0,1,2,0.0,0.0,0.0,break;
120,src/algorithms.rs,110,0,0,1,2,0.0,0.0,0.0,}
121,src/algorithms.rs,112,0,0,1,2,0.0,0.0,0.0,}
122,src/algorithms.rs,114,0,0,1,2,0.0,0.0,0.0,carry as BigDigit
123,src/algorithms.rs,115,0,0,1,2,0.0,0.0,0.0,}
124,src/algorithms.rs,122,0,0,1,2,0.0,0.0,0.0,"pub fn add2(a: &mut [BigDigit], b: &[BigDigit]) {"
125,src/algorithms.rs,123,0,0,1,2,0.0,0.0,0.0,"let carry = __add2(a, b);"
126,src/algorithms.rs,125,0,0,1,2,0.0,0.0,0.0,debug_assert!(carry == 0);
127,src/algorithms.rs,126,0,0,1,2,0.0,0.0,0.0,}
128,src/algorithms.rs,128,0,1,1,1,0.0,0.0,0.0,"pub fn sub2(a: &mut [BigDigit], b: &[BigDigit]) {"
129,src/algorithms.rs,129,0,1,1,1,0.0,0.0,0.0,let mut borrow = 0;
130,src/algorithms.rs,131,0,1,1,1,0.0,0.0,0.0,"let len = cmp::min(a.len(), b.len());"
131,src/algorithms.rs,132,0,1,1,1,0.0,0.0,0.0,"let (a_lo, a_hi) = a.split_at_mut(len);"
132,src/algorithms.rs,133,0,1,1,1,0.0,0.0,0.0,"let (b_lo, b_hi) = b.split_at(len);"
133,src/algorithms.rs,135,0,1,1,1,0.0,0.0,0.0,"for (a, b) in a_lo.iter_mut().zip(b_lo) {"
134,src/algorithms.rs,136,0,1,1,1,0.0,0.0,0.0,"*a = sbb(*a, *b, &mut borrow);"
135,src/algorithms.rs,139,0,1,1,1,0.0,0.0,0.0,if borrow != 0 {
136,src/algorithms.rs,140,0,0,1,2,0.0,0.0,0.0,for a in a_hi {
137,src/algorithms.rs,141,0,0,1,2,0.0,0.0,0.0,"*a = sbb(*a, 0, &mut borrow);"
138,src/algorithms.rs,142,0,0,1,2,0.0,0.0,0.0,if borrow == 0 {
139,src/algorithms.rs,143,0,0,1,2,0.0,0.0,0.0,break;
140,src/algorithms.rs,144,0,0,1,2,0.0,0.0,0.0,}
141,src/algorithms.rs,146,0,1,1,1,0.0,0.0,0.0,}
142,src/algorithms.rs,149,0,1,1,1,0.0,0.0,0.0,assert!(
143,src/algorithms.rs,150,0,1,1,1,0.0,0.0,0.0,"borrow == 0 && b_hi.iter().all(|x| *x == 0),"
144,src/algorithms.rs,153,0,1,1,1,0.0,0.0,0.0,}
145,src/algorithms.rs,157,0,0,1,2,0.0,0.0,0.0,"pub fn __sub2rev(a: &[BigDigit], b: &mut [BigDigit]) -> BigDigit {"
146,src/algorithms.rs,158,0,0,1,2,0.0,0.0,0.0,debug_assert!(b.len() == a.len());
147,src/algorithms.rs,160,0,0,1,2,0.0,0.0,0.0,let mut borrow = 0;
148,src/algorithms.rs,162,0,0,1,2,0.0,0.0,0.0,"for (ai, bi) in a.iter().zip(b) {"
149,src/algorithms.rs,163,0,0,1,2,0.0,0.0,0.0,"*bi = sbb(*ai, *bi, &mut borrow);"
150,src/algorithms.rs,166,0,0,1,2,0.0,0.0,0.0,borrow as BigDigit
151,src/algorithms.rs,167,0,0,1,2,0.0,0.0,0.0,}
152,src/algorithms.rs,169,0,0,1,2,0.0,0.0,0.0,"pub fn sub2rev(a: &[BigDigit], b: &mut [BigDigit]) {"
153,src/algorithms.rs,170,0,0,1,2,0.0,0.0,0.0,debug_assert!(b.len() >= a.len());
154,src/algorithms.rs,172,0,0,1,2,0.0,0.0,0.0,"let len = cmp::min(a.len(), b.len());"
155,src/algorithms.rs,173,0,0,1,2,0.0,0.0,0.0,"let (a_lo, a_hi) = a.split_at(len);"
156,src/algorithms.rs,174,0,0,1,2,0.0,0.0,0.0,"let (b_lo, b_hi) = b.split_at_mut(len);"
157,src/algorithms.rs,176,0,0,1,2,0.0,0.0,0.0,"let borrow = __sub2rev(a_lo, b_lo);"
158,src/algorithms.rs,178,0,0,1,2,0.0,0.0,0.0,assert!(a_hi.is_empty());
159,src/algorithms.rs,181,0,0,1,2,0.0,0.0,0.0,assert!(
160,src/algorithms.rs,182,0,0,1,2,0.0,0.0,0.0,"borrow == 0 && b_hi.iter().all(|x| *x == 0),"
161,src/algorithms.rs,185,0,0,1,2,0.0,0.0,0.0,}
162,src/algorithms.rs,187,0,0,1,2,0.0,0.0,0.0,"pub fn sub_sign(a: &[BigDigit], b: &[BigDigit]) -> (Sign, BigUint) {"
163,src/algorithms.rs,189,0,0,1,2,0.0,0.0,0.0,"let a = &a[..a.iter().rposition(|&x| x != 0).map_or(0, |i| i + 1)];"
164,src/algorithms.rs,190,0,0,1,2,0.0,0.0,0.0,"let b = &b[..b.iter().rposition(|&x| x != 0).map_or(0, |i| i + 1)];"
165,src/algorithms.rs,192,0,0,1,2,0.0,0.0,0.0,"match cmp_slice(a, b) {"
166,src/algorithms.rs,194,0,0,1,2,0.0,0.0,0.0,let mut a = a.to_vec();
167,src/algorithms.rs,195,0,0,1,2,0.0,0.0,0.0,"sub2(&mut a, b);"
168,src/algorithms.rs,196,0,0,1,2,0.0,0.0,0.0,"(Plus, BigUint::new(a))"
169,src/algorithms.rs,199,0,0,1,2,0.0,0.0,0.0,let mut b = b.to_vec();
170,src/algorithms.rs,200,0,0,1,2,0.0,0.0,0.0,"sub2(&mut b, a);"
171,src/algorithms.rs,201,0,0,1,2,0.0,0.0,0.0,"(Minus, BigUint::new(b))"
172,src/algorithms.rs,203,0,0,1,2,0.0,0.0,0.0,"_ => (NoSign, Zero::zero()),"
173,src/algorithms.rs,205,0,0,1,2,0.0,0.0,0.0,}
174,src/algorithms.rs,209,0,1,1,1,0.0,0.0,0.0,"pub fn mac_digit(acc: &mut [BigDigit], b: &[BigDigit], c: BigDigit) {"
175,src/algorithms.rs,210,0,1,1,1,0.0,0.0,0.0,if c == 0 {
176,src/algorithms.rs,211,0,0,1,2,0.0,0.0,0.0,return;
177,src/algorithms.rs,212,0,1,1,1,0.0,0.0,0.0,}
178,src/algorithms.rs,214,0,1,1,1,0.0,0.0,0.0,let mut carry = 0;
179,src/algorithms.rs,215,0,1,1,1,0.0,0.0,0.0,"let (a_lo, a_hi) = acc.split_at_mut(b.len());"
180,src/algorithms.rs,217,0,1,1,1,0.0,0.0,0.0,"for (a, &b) in a_lo.iter_mut().zip(b) {"
181,src/algorithms.rs,218,0,1,1,1,0.0,0.0,0.0,"*a = mac_with_carry(*a, b, c, &mut carry);"
182,src/algorithms.rs,221,0,1,1,1,0.0,0.0,0.0,let mut a = a_hi.iter_mut();
183,src/algorithms.rs,222,0,1,1,1,0.0,0.0,0.0,while carry != 0 {
184,src/algorithms.rs,223,0,0,1,2,0.0,0.0,0.0,"let a = a.next().expect(""carry overflow during multiplication!"");"
185,src/algorithms.rs,224,0,0,1,2,0.0,0.0,0.0,"*a = adc(*a, 0, &mut carry);"
186,src/algorithms.rs,226,0,1,1,1,0.0,0.0,0.0,}
187,src/algorithms.rs,230,0,2,1,0,0.0,0.0,0.0,"fn mac3(acc: &mut [BigDigit], b: &[BigDigit], c: &[BigDigit]) {"
188,src/algorithms.rs,231,0,2,1,0,0.0,0.0,0.0,"let (x, y) = if b.len() < c.len() { (b, c) } else { (c, b) };"
189,src/algorithms.rs,244,0,2,1,0,0.0,0.0,0.0,if x.len() <= 32 {
190,src/algorithms.rs,246,0,2,1,0,0.0,0.0,0.0,"for (i, xi) in x.iter().enumerate() {"
191,src/algorithms.rs,247,0,1,1,1,0.0,0.0,0.0,"mac_digit(&mut acc[i..], y, *xi);"
192,src/algorithms.rs,249,0,0,1,2,0.0,0.0,0.0,} else if x.len() <= 256 {
193,src/algorithms.rs,317,0,0,1,2,0.0,0.0,0.0,let b = x.len() / 2;
194,src/algorithms.rs,318,0,0,1,2,0.0,0.0,0.0,"let (x0, x1) = x.split_at(b);"
195,src/algorithms.rs,319,0,0,1,2,0.0,0.0,0.0,"let (y0, y1) = y.split_at(b);"
196,src/algorithms.rs,325,0,0,1,2,0.0,0.0,0.0,let len = x1.len() + y1.len() + 1;
197,src/algorithms.rs,326,0,0,1,2,0.0,0.0,0.0,let mut p = BigUint { data: vec![0; len] };
198,src/algorithms.rs,329,0,0,1,2,0.0,0.0,0.0,"mac3(&mut p.data[..], x1, y1);"
199,src/algorithms.rs,332,0,0,1,2,0.0,0.0,0.0,p.normalize();
200,src/algorithms.rs,334,0,0,1,2,0.0,0.0,0.0,"add2(&mut acc[b..], &p.data[..]);"
201,src/algorithms.rs,335,0,0,1,2,0.0,0.0,0.0,"add2(&mut acc[b * 2..], &p.data[..]);"
202,src/algorithms.rs,338,0,0,1,2,0.0,0.0,0.0,p.data.truncate(0);
203,src/algorithms.rs,339,0,0,1,2,0.0,0.0,0.0,p.data.extend(repeat(0).take(len));
204,src/algorithms.rs,342,0,0,1,2,0.0,0.0,0.0,"mac3(&mut p.data[..], x0, y0);"
205,src/algorithms.rs,343,0,0,1,2,0.0,0.0,0.0,p.normalize();
206,src/algorithms.rs,345,0,0,1,2,0.0,0.0,0.0,"add2(&mut acc[..], &p.data[..]);"
207,src/algorithms.rs,346,0,0,1,2,0.0,0.0,0.0,"add2(&mut acc[b..], &p.data[..]);"
208,src/algorithms.rs,350,0,0,1,2,0.0,0.0,0.0,"let (j0_sign, j0) = sub_sign(x1, x0);"
209,src/algorithms.rs,351,0,0,1,2,0.0,0.0,0.0,"let (j1_sign, j1) = sub_sign(y1, y0);"
210,src/algorithms.rs,353,0,0,1,2,0.0,0.0,0.0,match j0_sign * j1_sign {
211,src/algorithms.rs,354,0,0,1,2,0.0,0.0,0.0,Plus => {
212,src/algorithms.rs,355,0,0,1,2,0.0,0.0,0.0,p.data.truncate(0);
213,src/algorithms.rs,356,0,0,1,2,0.0,0.0,0.0,p.data.extend(repeat(0).take(len));
214,src/algorithms.rs,358,0,0,1,2,0.0,0.0,0.0,"mac3(&mut p.data[..], &j0.data[..], &j1.data[..]);"
215,src/algorithms.rs,359,0,0,1,2,0.0,0.0,0.0,p.normalize();
216,src/algorithms.rs,361,0,0,1,2,0.0,0.0,0.0,"sub2(&mut acc[b..], &p.data[..]);"
217,src/algorithms.rs,363,0,0,1,2,0.0,0.0,0.0,Minus => {
218,src/algorithms.rs,364,0,0,1,2,0.0,0.0,0.0,"mac3(&mut acc[b..], &j0.data[..], &j1.data[..]);"
219,src/algorithms.rs,366,0,0,1,2,0.0,0.0,0.0,"NoSign => (),"
220,src/algorithms.rs,368,0,0,1,2,0.0,0.0,0.0,} else {
221,src/algorithms.rs,377,0,0,1,2,0.0,0.0,0.0,let i = y.len() / 3 + 1;
222,src/algorithms.rs,379,0,0,1,2,0.0,0.0,0.0,"let x0_len = cmp::min(x.len(), i);"
223,src/algorithms.rs,380,0,0,1,2,0.0,0.0,0.0,"let x1_len = cmp::min(x.len() - x0_len, i);"
224,src/algorithms.rs,382,0,0,1,2,0.0,0.0,0.0,let y0_len = i;
225,src/algorithms.rs,383,0,0,1,2,0.0,0.0,0.0,"let y1_len = cmp::min(y.len() - y0_len, i);"
226,src/algorithms.rs,390,0,0,1,2,0.0,0.0,0.0,"let x0 = BigInt::from_slice(Plus, &x[..x0_len]);"
227,src/algorithms.rs,391,0,0,1,2,0.0,0.0,0.0,"let x1 = BigInt::from_slice(Plus, &x[x0_len..x0_len + x1_len]);"
228,src/algorithms.rs,392,0,0,1,2,0.0,0.0,0.0,"let x2 = BigInt::from_slice(Plus, &x[x0_len + x1_len..]);"
229,src/algorithms.rs,395,0,0,1,2,0.0,0.0,0.0,"let y0 = BigInt::from_slice(Plus, &y[..y0_len]);"
230,src/algorithms.rs,396,0,0,1,2,0.0,0.0,0.0,"let y1 = BigInt::from_slice(Plus, &y[y0_len..y0_len + y1_len]);"
231,src/algorithms.rs,397,0,0,1,2,0.0,0.0,0.0,"let y2 = BigInt::from_slice(Plus, &y[y0_len + y1_len..]);"
232,src/algorithms.rs,424,0,0,1,2,0.0,0.0,0.0,let p = &x0 + &x2;
233,src/algorithms.rs,427,0,0,1,2,0.0,0.0,0.0,let q = &y0 + &y2;
234,src/algorithms.rs,430,0,0,1,2,0.0,0.0,0.0,let p2 = &p - &x1;
235,src/algorithms.rs,433,0,0,1,2,0.0,0.0,0.0,let q2 = &q - &y1;
236,src/algorithms.rs,436,0,0,1,2,0.0,0.0,0.0,let r0 = &x0 * &y0;
237,src/algorithms.rs,439,0,0,1,2,0.0,0.0,0.0,let r4 = &x2 * &y2;
238,src/algorithms.rs,442,0,0,1,2,0.0,0.0,0.0,let r1 = (p + x1) * (q + y1);
239,src/algorithms.rs,445,0,0,1,2,0.0,0.0,0.0,let r2 = &p2 * &q2;
240,src/algorithms.rs,448,0,0,1,2,0.0,0.0,0.0,let r3 = ((p2 + x2) * 2 - x0) * ((q2 + y2) * 2 - y0);
241,src/algorithms.rs,469,0,0,1,2,0.0,0.0,0.0,let mut comp3: BigInt = (r3 - &r1) / 3;
242,src/algorithms.rs,470,0,0,1,2,0.0,0.0,0.0,let mut comp1: BigInt = (r1 - &r2) / 2;
243,src/algorithms.rs,471,0,0,1,2,0.0,0.0,0.0,let mut comp2: BigInt = r2 - &r0;
244,src/algorithms.rs,472,0,0,1,2,0.0,0.0,0.0,comp3 = (&comp2 - comp3) / 2 + &r4 * 2;
245,src/algorithms.rs,473,0,0,1,2,0.0,0.0,0.0,comp2 = comp2 + &comp1 - &r4;
246,src/algorithms.rs,474,0,0,1,2,0.0,0.0,0.0,comp1 = comp1 - &comp3;
247,src/algorithms.rs,479,0,0,1,2,0.0,0.0,0.0,let result = r0
248,src/algorithms.rs,481,0,0,1,2,0.0,0.0,0.0,+ (comp2 << 2 * 32 * i)
249,src/algorithms.rs,482,0,0,1,2,0.0,0.0,0.0,+ (comp3 << 3 * 32 * i)
250,src/algorithms.rs,483,0,0,1,2,0.0,0.0,0.0,+ (r4 << 4 * 32 * i);
251,src/algorithms.rs,484,0,0,1,2,0.0,0.0,0.0,let result_pos = result.to_biguint().unwrap();
252,src/algorithms.rs,485,0,0,1,2,0.0,0.0,0.0,"add2(&mut acc[..], &result_pos.data);"
253,src/algorithms.rs,487,0,2,1,0,0.0,0.0,0.0,}
