formula,oracle,found,best_rank,worst_tie_rank,average_tie_rank,tie_size,exam_best,exam_worst_tie,wasted_effort_best,top1,top3,top5,top10,ranked_lines,best_oracle_file,best_oracle_line,best_oracle_text
ochiai,src/multi/mod.rs:582,true,13,16,10.5,12,0.004377104377104377,0.0053872053872053875,12,false,false,false,false,2970,src/multi/mod.rs,582,"Ok((i, o)) => {"
dstar2,src/multi/mod.rs:582,true,13,16,10.5,12,0.004377104377104377,0.0053872053872053875,12,false,false,false,false,2970,src/multi/mod.rs,582,"Ok((i, o)) => {"
tarantula,src/multi/mod.rs:582,true,13,16,10.5,12,0.004377104377104377,0.0053872053872053875,12,false,false,false,false,2970,src/multi/mod.rs,582,"Ok((i, o)) => {"
