formula,oracle,found,best_rank,worst_tie_rank,average_tie_rank,tie_size,exam_best,exam_worst_tie,wasted_effort_best,top1,top3,top5,top10,ranked_lines,best_oracle_file,best_oracle_line,best_oracle_text
ochiai,src/distributions/weighted_index.rs:105;src/distributions/weighted_index.rs:111;src/distributions/weighted_index.rs:161,true,15,28,14.5,28,0.015212981744421906,0.028397565922920892,14,false,false,false,false,986,src/distributions/weighted_index.rs,105,if total_weight < zero {
dstar2,src/distributions/weighted_index.rs:105;src/distributions/weighted_index.rs:111;src/distributions/weighted_index.rs:161,true,15,28,14.5,28,0.015212981744421906,0.028397565922920892,14,false,false,false,false,986,src/distributions/weighted_index.rs,105,if total_weight < zero {
tarantula,src/distributions/weighted_index.rs:105;src/distributions/weighted_index.rs:111;src/distributions/weighted_index.rs:161,true,15,28,14.5,28,0.015212981744421906,0.028397565922920892,14,false,false,false,false,986,src/distributions/weighted_index.rs,105,if total_weight < zero {
