formula,oracle,found,best_rank,worst_tie_rank,average_tie_rank,tie_size,exam_best,exam_worst_tie,wasted_effort_best,top1,top3,top5,top10,ranked_lines,best_oracle_file,best_oracle_line,best_oracle_text
ochiai,crates/toml_edit/src/key.rs:131,true,155,617,313.0,609,0.044681464398962235,0.17786105505909483,154,false,false,false,false,3469,crates/toml_edit/src/key.rs,131,parser::parse_key(s)
dstar2,crates/toml_edit/src/key.rs:131,true,155,617,313.0,609,0.044681464398962235,0.17786105505909483,154,false,false,false,false,3469,crates/toml_edit/src/key.rs,131,parser::parse_key(s)
tarantula,crates/toml_edit/src/key.rs:131,true,155,617,313.0,609,0.044681464398962235,0.17786105505909483,154,false,false,false,false,3469,crates/toml_edit/src/key.rs,131,parser::parse_key(s)
