rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
52,src/bit_reader/mod.rs,266,1,0,0,2,1.0,1.0,inf,(BrotliGetBitsUnmasked(br) as u32) & BitMask(n_bits)
53,src/bit_reader/mod.rs,267,1,0,0,2,1.0,1.0,inf,}
54,src/bit_reader/mod.rs,326,1,0,0,2,1.0,1.0,inf,"pub fn BrotliReadBits(br: &mut BrotliBitReader, n_bits: u32, input: &[u8]) -> u32 {"
55,src/bit_reader/mod.rs,327,1,0,0,2,1.0,1.0,inf,if ::core::mem::size_of::<reg_t>() == 8 || (n_bits <= 16) {
56,src/bit_reader/mod.rs,328,1,0,0,2,1.0,1.0,inf,let mut val: u32 = 0;
57,src/bit_reader/mod.rs,329,1,0,0,2,1.0,1.0,inf,"BrotliFillBitWindow(br, n_bits, input);"
58,src/bit_reader/mod.rs,330,1,0,0,2,1.0,1.0,inf,"BrotliTakeBits(br, n_bits, &mut val);"
59,src/bit_reader/mod.rs,331,1,0,0,2,1.0,1.0,inf,val
60,src/bit_reader/mod.rs,341,1,0,0,2,1.0,1.0,inf,}
61,src/decode.rs,162,1,0,0,2,1.0,1.0,inf,}
62,src/decode.rs,163,1,0,0,2,1.0,1.0,inf,"bit_reader::BrotliTakeBits(br, 3, &mut n);"
63,src/decode.rs,164,1,0,0,2,1.0,1.0,inf,if (n != 0) {
64,src/decode.rs,167,1,0,0,2,1.0,1.0,inf,}
65,src/decode.rs,168,1,0,0,2,1.0,1.0,inf,"bit_reader::BrotliTakeBits(br, 3, &mut n);"
66,src/decode.rs,169,1,0,0,2,1.0,1.0,inf,if (n == 1) {
67,src/decode.rs,170,1,0,0,2,1.0,1.0,inf,if (large_window) {
68,src/decode.rs,171,1,0,0,2,1.0,1.0,inf,"bit_reader::BrotliTakeBits(br, 1, &mut n);"
69,src/decode.rs,172,1,0,0,2,1.0,1.0,inf,if (n == 1) {
70,src/decode.rs,174,1,0,0,2,1.0,1.0,inf,}
71,src/decode.rs,175,1,0,0,2,1.0,1.0,inf,*s_large_window = true;
72,src/decode.rs,176,1,0,0,2,1.0,1.0,inf,return BrotliDecoderErrorCode::BROTLI_DECODER_SUCCESS;
73,src/decode.rs,191,1,0,0,2,1.0,1.0,inf,fn mark_unlikely() {}
74,src/decode.rs,209,1,0,0,2,1.0,1.0,inf,}
75,src/decode.rs,210,1,0,0,2,1.0,1.0,inf,*substate_decode_uint8 = BrotliRunningDecodeUint8State::BROTLI_STATE_DECODE_UINT8_SHORT;
76,src/decode.rs,214,1,0,0,2,1.0,1.0,inf,"if !bit_reader::BrotliSafeReadBits(&mut br, 3, &mut bits, input) {"
77,src/decode.rs,218,1,0,0,2,1.0,1.0,inf,}
78,src/decode.rs,219,1,0,0,2,1.0,1.0,inf,if (bits == 0) {
79,src/decode.rs,220,1,0,0,2,1.0,1.0,inf,*value = 1;
80,src/decode.rs,221,1,0,0,2,1.0,1.0,inf,*substate_decode_uint8 = BrotliRunningDecodeUint8State::BROTLI_STATE_DECODE_UINT8_NONE;
81,src/decode.rs,222,1,0,0,2,1.0,1.0,inf,return BrotliDecoderErrorCode::BROTLI_DECODER_SUCCESS;
82,src/decode.rs,378,1,0,0,2,1.0,1.0,inf,"fn DecodeSymbol(bits: u32, table: &[HuffmanCode], br: &mut bit_reader::BrotliBitReader) -> u32 {"
83,src/decode.rs,379,1,0,0,2,1.0,1.0,inf,let mut table_index = bits & HUFFMAN_TABLE_MASK;
84,src/decode.rs,380,1,0,0,2,1.0,1.0,inf,let mut table_element = fast!((table)[table_index as usize]);
85,src/decode.rs,381,1,0,0,2,1.0,1.0,inf,if table_element.bits > HUFFMAN_TABLE_BITS as u8 {
86,src/decode.rs,388,1,0,0,2,1.0,1.0,inf,}
87,src/decode.rs,389,1,0,0,2,1.0,1.0,inf,"bit_reader::BrotliDropBits(br, table_element.bits as u32);"
88,src/decode.rs,390,1,0,0,2,1.0,1.0,inf,table_element.value as u32
89,src/decode.rs,391,1,0,0,2,1.0,1.0,inf,}
90,src/decode.rs,396,1,0,0,2,1.0,1.0,inf,"fn ReadSymbol(table: &[HuffmanCode], br: &mut bit_reader::BrotliBitReader, input: &[u8]) -> u32 {"
91,src/decode.rs,397,1,0,0,2,1.0,1.0,inf,"DecodeSymbol(bit_reader::BrotliGet16BitsUnmasked(br, input), table, br)"
92,src/decode.rs,398,1,0,0,2,1.0,1.0,inf,}
93,src/decode.rs,443,1,0,0,2,1.0,1.0,inf,"fn SafeReadSymbol(table: &[HuffmanCode],"
94,src/decode.rs,448,1,0,0,2,1.0,1.0,inf,let mut val: u32 = 0;
95,src/decode.rs,449,1,0,0,2,1.0,1.0,inf,"if (bit_reader::BrotliSafeGetBits(br, 15, &mut val, input)) {"
96,src/decode.rs,450,1,0,0,2,1.0,1.0,inf,"*result = DecodeSymbol(val, table, br);"
97,src/decode.rs,451,1,0,0,2,1.0,1.0,inf,return true;
98,src/decode.rs,456,1,0,0,2,1.0,1.0,inf,}
99,src/decode.rs,459,1,0,0,2,1.0,1.0,inf,"fn PreloadSymbol(safe: bool,"
100,src/decode.rs,465,1,0,0,2,1.0,1.0,inf,if (safe) {
101,src/decode.rs,467,1,0,0,2,1.0,1.0,inf,}
102,src/decode.rs,468,1,0,0,2,1.0,1.0,inf,let table_element =
103,src/decode.rs,469,1,0,0,2,1.0,1.0,inf,"fast!((table)[bit_reader::BrotliGetBits(br, HUFFMAN_TABLE_BITS, input) as usize]);"
104,src/decode.rs,470,1,0,0,2,1.0,1.0,inf,*bits = table_element.bits as u32;
105,src/decode.rs,471,1,0,0,2,1.0,1.0,inf,*value = table_element.value as u32;
106,src/decode.rs,472,1,0,0,2,1.0,1.0,inf,}
107,src/decode.rs,476,1,0,0,2,1.0,1.0,inf,"fn ReadPreloadedSymbol(table: &[HuffmanCode],"
108,src/decode.rs,482,1,0,0,2,1.0,1.0,inf,let result = if *bits > HUFFMAN_TABLE_BITS {
109,src/decode.rs,493,1,0,0,2,1.0,1.0,inf,"bit_reader::BrotliDropBits(br, *bits);"
110,src/decode.rs,494,1,0,0,2,1.0,1.0,inf,*value
111,src/decode.rs,496,1,0,0,2,1.0,1.0,inf,"PreloadSymbol(false, table, br, bits, value, input);"
112,src/decode.rs,497,1,0,0,2,1.0,1.0,inf,result
113,src/decode.rs,498,1,0,0,2,1.0,1.0,inf,}
114,src/decode.rs,500,1,0,0,2,1.0,1.0,inf,fn Log2Floor(mut x: u32) -> u32 {
115,src/decode.rs,501,1,0,0,2,1.0,1.0,inf,let mut result: u32 = 0;
