bug_id,project,category,repo_url,buggy_commit,fixed_commit,failing_tests,passing_tests,oracle,notes,formula,found,best_rank,worst_tie_rank,average_tie_rank,tie_size,exam_best,exam_worst_tie,wasted_effort_best,top1,top3,top5,top10,ranked_lines,best_oracle_file,best_oracle_line,best_oracle_text,metrics_status
rustc-demangle-long-symbol-panic,rustc-demangle,panic-error-handling,https://github.com/rust-lang/rustc-demangle,48646c6c429b1fff5d274cc19224631b437031c9,78501e1ac1747725861b3a0b325b8ca5c1f40f20,manual_demangle_long_symbol,demangle_crate; demangle_dll_import,src/lib.rs:122; src/lib.rs:124; src/lib.rs:135,Demangle panicked on very long symbol names. Reconstructed from upstream fuzzing fix.,tarantula,true,11,23,12.000000,23,0.102804,0.214953,10,false,false,false,false,107,src/lib.rs,122,let mut chars = inner.chars();,ok
regex-unicode-boundary-compile,regex,parser-panic,https://github.com/rust-lang/regex,a1a9ebe707fba85ff8e674ac6812a3aae14334f8,b2ca9c16dab559697ef152913a75479d7382efc1,manual_regex_unicode_boundary,manual_regex_simple; manual_regex_word_boundary,src/compile.rs:146,Regex::new accepted invalid (?-u:\B) pattern that should have been rejected. Reconstructed from upstream compile fix.,ochiai,true,144,681,392.500000,578,0.034335,0.162375,143,false,false,false,false,4194,src/compile.rs,146,expr.properties().look_set_prefix().contains(Look::Start);,ok
regex-unicode-boundary-compile,regex,parser-panic,https://github.com/rust-lang/regex,a1a9ebe707fba85ff8e674ac6812a3aae14334f8,b2ca9c16dab559697ef152913a75479d7382efc1,manual_regex_unicode_boundary,manual_regex_simple; manual_regex_word_boundary,src/compile.rs:146,Regex::new accepted invalid (?-u:\B) pattern that should have been rejected. Reconstructed from upstream compile fix.,dstar2,true,144,681,392.500000,578,0.034335,0.162375,143,false,false,false,false,4194,src/compile.rs,146,expr.properties().look_set_prefix().contains(Look::Start);,ok
regex-unicode-boundary-compile,regex,parser-panic,https://github.com/rust-lang/regex,a1a9ebe707fba85ff8e674ac6812a3aae14334f8,b2ca9c16dab559697ef152913a75479d7382efc1,manual_regex_unicode_boundary,manual_regex_simple; manual_regex_word_boundary,src/compile.rs:146,Regex::new accepted invalid (?-u:\B) pattern that should have been rejected. Reconstructed from upstream compile fix.,tarantula,true,144,681,392.500000,578,0.034335,0.162375,143,false,false,false,false,4194,src/compile.rs,146,expr.properties().look_set_prefix().contains(Look::Start);,ok
regex-literal-optimization-bug,regex,parser-panic,https://github.com/rust-lang/regex,d555d6122d1d1a354c45361d029571413beca8ef,40d883d405ba3e992d84367a6e9ede4053125ab3,manual_regex_literal_optimization,manual_regex_simple_alternation; manual_regex_no_match,src/exec.rs:1442,Literal optimization in multi-pattern regex produced incorrect matches. Reconstructed from upstream optimization fix.,ochiai,true,7,45,23.000000,45,0.001666,0.010712,6,false,false,false,true,4201,src/exec.rs,1442,Some(MatchType::Literal(MatchLiteralType::Unanchored)),ok
regex-literal-optimization-bug,regex,parser-panic,https://github.com/rust-lang/regex,d555d6122d1d1a354c45361d029571413beca8ef,40d883d405ba3e992d84367a6e9ede4053125ab3,manual_regex_literal_optimization,manual_regex_simple_alternation; manual_regex_no_match,src/exec.rs:1442,Literal optimization in multi-pattern regex produced incorrect matches. Reconstructed from upstream optimization fix.,dstar2,true,7,45,23.000000,45,0.001666,0.010712,6,false,false,false,true,4201,src/exec.rs,1442,Some(MatchType::Literal(MatchLiteralType::Unanchored)),ok
regex-literal-optimization-bug,regex,parser-panic,https://github.com/rust-lang/regex,d555d6122d1d1a354c45361d029571413beca8ef,40d883d405ba3e992d84367a6e9ede4053125ab3,manual_regex_literal_optimization,manual_regex_simple_alternation; manual_regex_no_match,src/exec.rs:1442,Literal optimization in multi-pattern regex produced incorrect matches. Reconstructed from upstream optimization fix.,tarantula,true,7,45,23.000000,45,0.001666,0.010712,6,false,false,false,true,4201,src/exec.rs,1442,Some(MatchType::Literal(MatchLiteralType::Unanchored)),ok
rand-weighted-index-nan,rand,generic-trait,https://github.com/rust-random/rand,39a37f0ddfb07714b39c1fd9d8d140c6b02b6c53,cc2e7dd320d53cb3f094b9aceb0af984d77bb5c4,manual_weighted_index_nan,manual_weighted_index_valid; manual_weighted_index_zero_weight,src/distributions/weighted_index.rs:105; src/distributions/weighted_index.rs:111; src/distributions/weighted_index.rs:161,WeightedIndex::new() panicked on NaN weight instead of returning error. Reconstructed from upstream fix.,ochiai,true,15,28,14.500000,28,0.015213,0.028398,14,false,false,false,false,986,src/distributions/weighted_index.rs,105,if total_weight < zero {,ok
rand-weighted-index-nan,rand,generic-trait,https://github.com/rust-random/rand,39a37f0ddfb07714b39c1fd9d8d140c6b02b6c53,cc2e7dd320d53cb3f094b9aceb0af984d77bb5c4,manual_weighted_index_nan,manual_weighted_index_valid; manual_weighted_index_zero_weight,src/distributions/weighted_index.rs:105; src/distributions/weighted_index.rs:111; src/distributions/weighted_index.rs:161,WeightedIndex::new() panicked on NaN weight instead of returning error. Reconstructed from upstream fix.,dstar2,true,15,28,14.500000,28,0.015213,0.028398,14,false,false,false,false,986,src/distributions/weighted_index.rs,105,if total_weight < zero {,ok
rand-weighted-index-nan,rand,generic-trait,https://github.com/rust-random/rand,39a37f0ddfb07714b39c1fd9d8d140c6b02b6c53,cc2e7dd320d53cb3f094b9aceb0af984d77bb5c4,manual_weighted_index_nan,manual_weighted_index_valid; manual_weighted_index_zero_weight,src/distributions/weighted_index.rs:105; src/distributions/weighted_index.rs:111; src/distributions/weighted_index.rs:161,WeightedIndex::new() panicked on NaN weight instead of returning error. Reconstructed from upstream fix.,tarantula,true,15,28,14.500000,28,0.015213,0.028398,14,false,false,false,false,986,src/distributions/weighted_index.rs,105,if total_weight < zero {,ok
syn-float-e-suffix-panic,syn,macro-involved,https://github.com/dtolnay/syn,c2ef263dda394da054abb7a18c578a85ef9750e2,63ccc27e5e49088d337b27c4befe126ed82ca815,manual_float_e_suffix,manual_float_normal; manual_int_parsing,src/lit.rs:1434,Float literal parsing rejected 'e' as first character of float suffix. Reconstructed from upstream PR #894.,ochiai,true,6,10,5.500000,10,0.000528,0.000879,5,false,false,false,true,11374,src/lit.rs,1434,return None;,ok
syn-float-e-suffix-panic,syn,macro-involved,https://github.com/dtolnay/syn,c2ef263dda394da054abb7a18c578a85ef9750e2,63ccc27e5e49088d337b27c4befe126ed82ca815,manual_float_e_suffix,manual_float_normal; manual_int_parsing,src/lit.rs:1434,Float literal parsing rejected 'e' as first character of float suffix. Reconstructed from upstream PR #894.,dstar2,true,6,10,5.500000,10,0.000528,0.000879,5,false,false,false,true,11374,src/lit.rs,1434,return None;,ok
syn-float-e-suffix-panic,syn,macro-involved,https://github.com/dtolnay/syn,c2ef263dda394da054abb7a18c578a85ef9750e2,63ccc27e5e49088d337b27c4befe126ed82ca815,manual_float_e_suffix,manual_float_normal; manual_int_parsing,src/lit.rs:1434,Float literal parsing rejected 'e' as first character of float suffix. Reconstructed from upstream PR #894.,tarantula,true,6,10,5.500000,10,0.000528,0.000879,5,false,false,false,true,11374,src/lit.rs,1434,return None;,ok
