formula,oracle,found,best_rank,worst_tie_rank,average_tie_rank,tie_size,exam_best,exam_worst_tie,wasted_effort_best,top1,top3,top5,top10,ranked_lines,best_oracle_file,best_oracle_line,best_oracle_text
ochiai,src/stable.rs:907,true,7,11,6.0,11,0.010510510510510511,0.016516516516516516,6,false,false,false,true,666,src/stable.rs,907,"Some((offset, _)) => Ok((input.advance(offset), ())),"
dstar2,src/stable.rs:907,true,7,11,6.0,11,0.010510510510510511,0.016516516516516516,6,false,false,false,true,666,src/stable.rs,907,"Some((offset, _)) => Ok((input.advance(offset), ())),"
tarantula,src/stable.rs:907,true,7,11,6.0,11,0.010510510510510511,0.016516516516516516,6,false,false,false,true,666,src/stable.rs,907,"Some((offset, _)) => Ok((input.advance(offset), ())),"
