formula,oracle,found,best_rank,worst_tie_rank,average_tie_rank,tie_size,exam_best,exam_worst_tie,wasted_effort_best,top1,top3,top5,top10,ranked_lines,best_oracle_file,best_oracle_line,best_oracle_text
ochiai,src/lit.rs:1434,true,6,10,5.5,10,0.0005275189027606822,0.0008791981712678037,5,false,false,false,true,11374,src/lit.rs,1434,return None;
dstar2,src/lit.rs:1434,true,6,10,5.5,10,0.0005275189027606822,0.0008791981712678037,5,false,false,false,true,11374,src/lit.rs,1434,return None;
tarantula,src/lit.rs:1434,true,6,10,5.5,10,0.0005275189027606822,0.0008791981712678037,5,false,false,false,true,11374,src/lit.rs,1434,return None;
